;Comb;Shell;Heap;Radix;Counting
1000;12814816;0;0;0;0
2000;0;0;0;0;0
3000;0;0;0;0;0
4000;0;0;0;0;0
5000;0;0;0;0;3507208
6000;0;0;0;0;0
7000;0;0;0;0;0
8000;0;0;0;3487248;0
9000;0;0;0;0;0
10000;0;0;0;3487248;0
11000;0;0;0;3487248;0
12000;0;0;0;3487248;0
13000;0;0;0;3487248;0
14000;0;0;0;3543208;0
15000;0;0;0;3487248;0
16000;0;0;0;3487248;0
17000;0;0;3487192;3487248;0
18000;0;0;0;3559208;0
19000;0;0;0;6974496;0
20000;0;0;0;3487248;0
21000;0;0;0;6974496;0
22000;0;0;0;3487248;264048
23000;184032;92016;92016;6974440;0
24000;0;0;0;6974496;0
25000;2104;0;0;7074456;0
26000;0;0;0;-172874816;0
27000;0;0;0;6739352;0
28000;0;0;0;6629248;0
29000;0;2088;0;10059832;0
30000;0;0;0;6749264;0
31000;0;0;0;9943872;0
32000;0;0;0;6629248;0
33000;0;0;0;10075888;0
34000;0;0;0;9943872;0
35000;0;0;0;6629248;420048
36000;288032;144016;144016;10231904;0
37000;0;0;0;9943872;0
38000;0;0;0;10095832;0
39000;0;0;0;10255904;0
40000;0;160016;160016;10263904;0
41000;328032;164016;164016;10271904;3314568
42000;0;0;0;9943872;0
43000;0;0;0;9943872;-164804448
44000;0;0;0;9628224;0
45000;0;0;0;12962976;0
46000;0;0;0;12602944;0
47000;0;0;0;12602944;0
48000;0;0;0;12602944;0
49000;0;0;0;12994976;0
50000;0;0;3150680;9652224;3150680
51000;0;0;0;12602944;0
52000;0;0;0;12602944;0
53000;424032;212016;212016;13026976;3362696
54000;0;0;0;12602944;0
55000;0;0;220016;-143471080;0
56000;0;224016;224016;15813992;0
57000;0;0;0;15370016;0
58000;0;0;0;15142000;0
59000;0;0;236016;15614032;0
60000;0;240016;240016;15622032;0
61000;244016;244016;244016;15630032;0
62000;496032;248016;248016;15638032;248016
63000;504032;252016;252016;15646032;504032
64000;512032;256016;256016;15654032;768048
65000;520032;260016;260016;-135639128;0
66000;3164584;0;0;14503120;528032
67000;536032;268016;268016;18207792;0
68000;0;0;0;17947776;0
69000;0;276016;276016;17955776;0
70000;280016;280016;280016;17963776;0
71000;568032;284016;284016;17971776;0
72000;3188584;0;0;16217464;-144233672
73000;0;0;0;16610688;584032
74000;592032;296016;296016;19971168;0
75000;0;0;300016;19979168;0
76000;0;0;304016;19987168;0
77000;0;2768392;0;19383264;0
78000;0;0;0;19691152;0
79000;632032;316016;316016;-119683904;316016
80000;640032;320016;320016;21870048;0
81000;0;0;0;21553976;0
82000;0;0;328016;21886048;0
83000;0;0;332016;21894048;0
84000;0;2653696;0;18576264;1008048
85000;680032;340016;340016;-106444968;0
86000;0;344016;344016;21056288;1032048
87000;696032;348016;348016;21412304;696032
88000;704032;352016;352016;21776320;704032
89000;712032;356016;356016;21792320;1068048
90000;720032;360016;360016;22168336;2230104
91000;0;0;0;-110196872;2794664
92000;0;0;0;22244352;2798664
93000;0;0;0;22248352;1116048
94000;752032;376016;376016;25059072;0
95000;0;380016;380016;-93947504;380016
96000;768032;384016;384016;24113472;384016
97000;776032;388016;388016;24121472;776032
98000;784032;392016;392016;24129472;784032
99000;792032;396016;396016;24533488;792032
100000;800032;400016;400016;-88484832;0
101000;0;2245496;0;29596192;1212048
102000;816032;408016;408016;32661776;0
103000;412016;412016;412016;-81354048;412016
104000;832032;416016;416016;32920512;0
105000;840032;420016;420016;32928512;420016
106000;848032;424016;424016;-70821368;0
107000;856032;428016;428016;32659824;1284048
108000;864032;432016;432016;33107840;864032
109000;872032;436016;436016;-72987296;436016
110000;880032;440016;440016;33285256;1320048
111000;888032;444016;444016;34827624;444016
112000;896032;448016;448016;-62324400;896032
113000;904032;452016;452016;35461584;452016
114000;912032;456016;456016;-59561904;0
